Ngày,Lần cuối
21/04/2009,1246.0
22/04/2009,1307.0
23/04/2009,1294.0
24/04/2009,1281.0
27/04/2009,1262.0
28/04/2009,1278.0
29/04/2009,1287.0
04/05/2009,1351.0
05/05/2009,1418.0
06/05/2009,1469.0
07/05/2009,1543.0
08/05/2009,1562.0
11/05/2009,1591.0
12/05/2009,1645.0
13/05/2009,1565.0
14/05/2009,1565.0
15/05/2009,1629.0
18/05/2009,1581.0
19/05/2009,1597.0
20/05/2009,1677.0
21/05/2009,1629.0
22/05/2009,1581.0
25/05/2009,1645.0
26/05/2009,1597.0
27/05/2009,1581.0
28/05/2009,1527.0
29/05/2009,1549.0
01/06/2009,1613.0
02/06/2009,1677.0
03/06/2009,1677.0
04/06/2009,1741.0
05/06/2009,1821.0
08/06/2009,1901.0
09/06/2009,1981.0
10/06/2009,1885.0
11/06/2009,1965.0
12/06/2009,1901.0
15/06/2009,1821.0
16/06/2009,1741.0
17/06/2009,1821.0
18/06/2009,1837.0
19/06/2009,1837.0
22/06/2009,1757.0
23/06/2009,1677.0
24/06/2009,1757.0
25/06/2009,1773.0
26/06/2009,1805.0
29/06/2009,1805.0
30/06/2009,1725.0
01/07/2009,1677.0
02/07/2009,1741.0
03/07/2009,1757.0
06/07/2009,1837.0
07/07/2009,1805.0
08/07/2009,1805.0
09/07/2009,1821.0
10/07/2009,1773.0
13/07/2009,1725.0
14/07/2009,1709.0
15/07/2009,1741.0
16/07/2009,1757.0
17/07/2009,1757.0
20/07/2009,1709.0
21/07/2009,1725.0
22/07/2009,1757.0
23/07/2009,1821.0
24/07/2009,1901.0
27/07/2009,1965.0
28/07/2009,1885.0
29/07/2009,1853.0
30/07/2009,1821.0
31/07/2009,1901.0
03/08/2009,1885.0
04/08/2009,1917.0
05/08/2009,1949.0
06/08/2009,1949.0
07/08/2009,1981.0
10/08/2009,2060.0
11/08/2009,2156.0
12/08/2009,2188.0
13/08/2009,2220.0
14/08/2009,2188.0
17/08/2009,2156.0
18/08/2009,2156.0
19/08/2009,2220.0
20/08/2009,2220.0
21/08/2009,2220.0
24/08/2009,2252.0
25/08/2009,2220.0
26/08/2009,2220.0
27/08/2009,2204.0
28/08/2009,2236.0
31/08/2009,2220.0
01/09/2009,2220.0
03/09/2009,2204.0
04/09/2009,2156.0
07/09/2009,2140.0
08/09/2009,2236.0
09/09/2009,2332.0
10/09/2009,2300.0
11/09/2009,2268.0
14/09/2009,2252.0
15/09/2009,2236.0
16/09/2009,2204.0
17/09/2009,2204.0
18/09/2009,2204.0
21/09/2009,2300.0
22/09/2009,2300.0
23/09/2009,2364.0
24/09/2009,2332.0
25/09/2009,2316.0
28/09/2009,2300.0
29/09/2009,2316.0
30/09/2009,2284.0
01/10/2009,2236.0
02/10/2009,2172.0
05/10/2009,2156.0
06/10/2009,2156.0
07/10/2009,2252.0
08/10/2009,2252.0
09/10/2009,2284.0
12/10/2009,2381.0
13/10/2009,2316.0
14/10/2009,2397.0
15/10/2009,2446.0
16/10/2009,2381.0
19/10/2009,2381.0
20/10/2009,2430.0
21/10/2009,2478.0
22/10/2009,2592.0
23/10/2009,2640.0
26/10/2009,2624.0
27/10/2009,2576.0
28/10/2009,2543.0
29/10/2009,2495.0
30/10/2009,2495.0
02/11/2009,2381.0
03/11/2009,2284.0
04/11/2009,2235.0
05/11/2009,2252.0
06/11/2009,2203.0
09/11/2009,2106.0
10/11/2009,2025.0
11/11/2009,2122.0
12/11/2009,2203.0
13/11/2009,2252.0
16/11/2009,2187.0
17/11/2009,2171.0
18/11/2009,2268.0
19/11/2009,2333.0
20/11/2009,2268.0
23/11/2009,2171.0
24/11/2009,2138.0
25/11/2009,2041.0
26/11/2009,1944.0
27/11/2009,1928.0
30/11/2009,2009.0
01/12/2009,2073.0
02/12/2009,2025.0
03/12/2009,2009.0
04/12/2009,1992.0
07/12/2009,1992.0
08/12/2009,1944.0
09/12/2009,1847.0
10/12/2009,1798.0
11/12/2009,1717.0
14/12/2009,1798.0
15/12/2009,1798.0
16/12/2009,1717.0
17/12/2009,1668.0
18/12/2009,1668.0
21/12/2009,1749.0
22/12/2009,1830.0
23/12/2009,1814.0
24/12/2009,1847.0
25/12/2009,1928.0
28/12/2009,1863.0
29/12/2009,1814.0
30/12/2009,1879.0
31/12/2009,1895.0
04/01/2010,1976.0
05/01/2010,2073.0
06/01/2010,2138.0
07/01/2010,2203.0
08/01/2010,2106.0
11/01/2010,2073.0
12/01/2010,1992.0
13/01/2010,2041.0
14/01/2010,2009.0
15/01/2010,1976.0
18/01/2010,1911.0
19/01/2010,1960.0
20/01/2010,1944.0
21/01/2010,1895.0
22/01/2010,1895.0
25/01/2010,1928.0
26/01/2010,2009.0
27/01/2010,1944.0
28/01/2010,1911.0
29/01/2010,1944.0
01/02/2010,2025.0
02/02/2010,2073.0
03/02/2010,2090.0
04/02/2010,2090.0
05/02/2010,2041.0
08/02/2010,2041.0
09/02/2010,2041.0
10/02/2010,2073.0
11/02/2010,2073.0
12/02/2010,2090.0
22/02/2010,2073.0
23/02/2010,2009.0
24/02/2010,2009.0
25/02/2010,1992.0
26/02/2010,1960.0
01/03/2010,1992.0
02/03/2010,2041.0
03/03/2010,2073.0
04/03/2010,2073.0
05/03/2010,2090.0
08/03/2010,2138.0
09/03/2010,2138.0
10/03/2010,2171.0
11/03/2010,2235.0
12/03/2010,2235.0
15/03/2010,2219.0
16/03/2010,2154.0
17/03/2010,2106.0
18/03/2010,2154.0
19/03/2010,2138.0
22/03/2010,2106.0
23/03/2010,2090.0
24/03/2010,2106.0
25/03/2010,2057.0
26/03/2010,2073.0
29/03/2010,2073.0
30/03/2010,2057.0
31/03/2010,2025.0
01/04/2010,2073.0
02/04/2010,2106.0
05/04/2010,2171.0
06/04/2010,2171.0
07/04/2010,2187.0
08/04/2010,2187.0
09/04/2010,2187.0
12/04/2010,2187.0
13/04/2010,2171.0
14/04/2010,2171.0
15/04/2010,2203.0
16/04/2010,2187.0
19/04/2010,2187.0
20/04/2010,2187.0
21/04/2010,2187.0
22/04/2010,2219.0
26/04/2010,2235.0
27/04/2010,2347.0
28/04/2010,2352.0
29/04/2010,2318.0
04/05/2010,2313.0
05/05/2010,2260.0
06/05/2010,2260.0
07/05/2010,2206.0
10/05/2010,2182.0
11/05/2010,2182.0
12/05/2010,2133.0
13/05/2010,2138.0
14/05/2010,2138.0
17/05/2010,2065.0
18/05/2010,2046.0
19/05/2010,1978.0
20/05/2010,2065.0
21/05/2010,1968.0
24/05/2010,1968.0
25/05/2010,1920.0
26/05/2010,1983.0
27/05/2010,1983.0
28/05/2010,2041.0
31/05/2010,2036.0
01/06/2010,2041.0
02/06/2010,2041.0
03/06/2010,2041.0
04/06/2010,2041.0
07/06/2010,2031.0
08/06/2010,2007.0
09/06/2010,1997.0
10/06/2010,2017.0
11/06/2010,2017.0
14/06/2010,2022.0
15/06/2010,2031.0
16/06/2010,2022.0
17/06/2010,2012.0
18/06/2010,2012.0
21/06/2010,2007.0
22/06/2010,2012.0
23/06/2010,2017.0
24/06/2010,2012.0
25/06/2010,2002.0
28/06/2010,1992.0
29/06/2010,2007.0
30/06/2010,2017.0
01/07/2010,1983.0
02/07/2010,1968.0
05/07/2010,1992.0
06/07/2010,1944.0
07/07/2010,1905.0
08/07/2010,1886.0
09/07/2010,1886.0
12/07/2010,1886.0
13/07/2010,1944.0
14/07/2010,1905.0
15/07/2010,1895.0
16/07/2010,1895.0
19/07/2010,1895.0
20/07/2010,1890.0
21/07/2010,1871.0
22/07/2010,1856.0
23/07/2010,1847.0
26/07/2010,1842.0
27/07/2010,1818.0
28/07/2010,1784.0
29/07/2010,1720.0
30/07/2010,1740.0
02/08/2010,1740.0
03/08/2010,1769.0
04/08/2010,1788.0
05/08/2010,1764.0
06/08/2010,1798.0
09/08/2010,1759.0
10/08/2010,1706.0
11/08/2010,1691.0
12/08/2010,1613.0
13/08/2010,1652.0
16/08/2010,1735.0
17/08/2010,1715.0
18/08/2010,1701.0
19/08/2010,1696.0
20/08/2010,1749.0
23/08/2010,1754.0
24/08/2010,1706.0
25/08/2010,1657.0
26/08/2010,1701.0
27/08/2010,1701.0
30/08/2010,1784.0
31/08/2010,1871.0
01/09/2010,1944.0
06/09/2010,1949.0
07/09/2010,1876.0
08/09/2010,1890.0
09/09/2010,1895.0
10/09/2010,1827.0
13/09/2010,1832.0
14/09/2010,1832.0
15/09/2010,1842.0
16/09/2010,1852.0
17/09/2010,1944.0
20/09/2010,1939.0
21/09/2010,1852.0
22/09/2010,1876.0
23/09/2010,1876.0
24/09/2010,1876.0
27/09/2010,1866.0
28/09/2010,1876.0
29/09/2010,1876.0
30/09/2010,1871.0
01/10/2010,1876.0
04/10/2010,1886.0
05/10/2010,1920.0
06/10/2010,1934.0
07/10/2010,1929.0
08/10/2010,1924.0
11/10/2010,1939.0
12/10/2010,1895.0
13/10/2010,1895.0
14/10/2010,1890.0
15/10/2010,1895.0
18/10/2010,1895.0
19/10/2010,1890.0
20/10/2010,1856.0
21/10/2010,1871.0
22/10/2010,1895.0
25/10/2010,1910.0
26/10/2010,1915.0
27/10/2010,1900.0
28/10/2010,1900.0
29/10/2010,1905.0
01/11/2010,1905.0
02/11/2010,1905.0
03/11/2010,1915.0
04/11/2010,1905.0
05/11/2010,1934.0
08/11/2010,1920.0
09/11/2010,1890.0
10/11/2010,1890.0
11/11/2010,1847.0
12/11/2010,1842.0
15/11/2010,1837.0
16/11/2010,1818.0
17/11/2010,1774.0
18/11/2010,1803.0
19/11/2010,1803.0
22/11/2010,1818.0
23/11/2010,1861.0
24/11/2010,1871.0
25/11/2010,1876.0
26/11/2010,1866.0
29/11/2010,1944.0
30/11/2010,1939.0
01/12/2010,1965.0
02/12/2010,1975.0
03/12/2010,1970.0
06/12/2010,1944.0
07/12/2010,1878.0
08/12/2010,1821.0
09/12/2010,1878.0
10/12/2010,1949.0
13/12/2010,2026.0
14/12/2010,2021.0
15/12/2010,2006.0
16/12/2010,1995.0
17/12/2010,2000.0
20/12/2010,1995.0
21/12/2010,2006.0
22/12/2010,2000.0
23/12/2010,1995.0
24/12/2010,1990.0
27/12/2010,1990.0
28/12/2010,1985.0
29/12/2010,1980.0
30/12/2010,1980.0
31/12/2010,1980.0
04/01/2011,1970.0
05/01/2011,1924.0
06/01/2011,1903.0
07/01/2011,1929.0
10/01/2011,1919.0
11/01/2011,1898.0
12/01/2011,1888.0
13/01/2011,1898.0
14/01/2011,1898.0
17/01/2011,1908.0
18/01/2011,1913.0
19/01/2011,1970.0
20/01/2011,1970.0
21/01/2011,1965.0
24/01/2011,1944.0
25/01/2011,1919.0
26/01/2011,1929.0
27/01/2011,1980.0
