ngay;dongcua
5/26/2020;86
5/25/2020;86
5/22/2020;86
5/21/2020;87
5/20/2020;86
5/19/2020;86
5/18/2020;86
5/15/2020;86
5/14/2020;85
5/13/2020;84
05/12/2020;86
05/11/2020;87
05/08/2020;87
05/07/2020;85
05/06/2020;84
05/05/2020;82
05/04/2020;82
4/29/2020;82
4/28/2020;82
4/27/2020;82
4/24/2020;83
4/23/2020;83
4/22/2020;82
4/21/2020;83
4/20/2020;86
4/17/2020;85
4/16/2020;85
4/15/2020;85
4/14/2020;85
4/13/2020;85
04/10/2020;84
04/09/2020;85
04/08/2020;84
04/07/2020;86
04/06/2020;86
04/03/2020;81
04/01/2020;76
3/31/2020;74
3/30/2020;72
3/27/2020;77
3/26/2020;73
3/25/2020;68
3/24/2020;64
3/23/2020;68
3/20/2020;73
3/19/2020;79
3/18/2020;79
3/17/2020;79
3/16/2020;82
3/13/2020;82
03/12/2020;82
03/11/2020;86
03/10/2020;87
03/09/2020;87
03/06/2020;93
03/05/2020;94
03/04/2020;94
03/03/2020;94
03/02/2020;94
2/28/2020;94
2/27/2020;94
2/26/2020;94
2/25/2020;95
2/24/2020;95
2/21/2020;98
2/20/2020;98
2/19/2020;93
2/18/2020;93
2/17/2020;96
2/14/2020;98
2/13/2020;100
02/12/2020;100
02/11/2020;101
02/10/2020;101
02/07/2020;102
02/06/2020;102
02/05/2020;102
02/04/2020;102
02/03/2020;102
1/31/2020;102
1/30/2020;102
1/22/2020;102
1/21/2020;102
1/20/2020;102
1/17/2020;102
1/16/2020;102
1/15/2020;102
1/14/2020;102
1/13/2020;102
01/10/2020;102
01/09/2020;102
01/08/2020;102
01/07/2020;102
01/06/2020;102
01/03/2020;102
01/02/2020;102
12/31/2019;102
12/30/2019;102
12/27/2019;102
12/26/2019;103
12/25/2019;103
12/24/2019;103
12/23/2019;103
12/20/2019;103
12/19/2019;103
12/18/2019;103
12/17/2019;103
12/16/2019;103
12/13/2019;103
12/12/2019;103
12/11/2019;103
12/10/2019;103
12/09/2019;103
12/06/2019;103
12/05/2019;103
12/04/2019;103
12/03/2019;102
12/02/2019;102
11/29/2019;103
11/28/2019;103
11/27/2019;103
11/26/2019;102
11/25/2019;103
11/22/2019;103
11/21/2019;102
11/20/2019;103
11/19/2019;104
11/18/2019;105
11/15/2019;106
11/14/2019;106
11/13/2019;106
11/12/2019;106
11/11/2019;106
11/08/2019;107
11/07/2019;107
11/06/2019;108
11/05/2019;108
11/04/2019;108
11/01/2019;109
10/31/2019;106
10/30/2019;106
10/29/2019;105
10/28/2019;105
10/25/2019;104
10/24/2019;104
10/23/2019;104
10/22/2019;104
10/21/2019;104
10/18/2019;104
10/17/2019;104
10/16/2019;105
10/15/2019;105
10/14/2019;105
10/11/2019;105
10/10/2019;104
10/09/2019;104
10/08/2019;104
10/07/2019;104
10/04/2019;105
10/03/2019;105
10/02/2019;105
10/01/2019;107
9/30/2019;106
9/27/2019;106
9/26/2019;106
9/25/2019;106
9/24/2019;107
9/23/2019;106
9/20/2019;106
9/19/2019;108
9/18/2019;109
9/17/2019;109
9/16/2019;109
9/13/2019;109
09/12/2019;108
09/11/2019;108
09/10/2019;108
09/09/2019;109
09/06/2019;108
09/05/2019;108
09/04/2019;109
09/03/2019;109
8/30/2019;110
8/29/2019;109
8/28/2019;108
8/27/2019;109
8/26/2019;111
8/23/2019;111
8/22/2019;112
8/21/2019;109
8/20/2019;108
8/19/2019;108
8/16/2019;108
8/15/2019;108
8/14/2019;105
8/13/2019;105
08/12/2019;107
08/09/2019;107
08/08/2019;108
08/07/2019;105
08/06/2019;106
08/05/2019;105
08/02/2019;109
08/01/2019;111
7/31/2019;108
7/30/2019;109
7/29/2019;111
7/26/2019;109
7/25/2019;110
7/24/2019;108
7/23/2019;106
7/22/2019;104
7/19/2019;116
7/18/2019;115
7/17/2019;116
7/16/2019;116
7/15/2019;114
07/12/2019;116
07/11/2019;117
07/10/2019;117
07/09/2019;116
07/08/2019;116
07/05/2019;117
07/04/2019;117
07/03/2019;115
07/02/2019;116
07/01/2019;117
6/28/2019;116
6/27/2019;115
6/26/2019;117
6/25/2019;116
6/24/2019;116
6/21/2019;115
6/20/2019;116
6/19/2019;116
6/18/2019;114
6/17/2019;115
6/14/2019;116
6/13/2019;116
06/12/2019;116
06/11/2019;117
06/10/2019;118
06/07/2019;117
06/06/2019;116
06/05/2019;116
06/04/2019;115
06/03/2019;115
5/31/2019;115
5/30/2019;115
5/29/2019;115
5/28/2019;114
5/27/2019;115
5/24/2019;115
5/23/2019;117
5/22/2019;118
5/21/2019;118
5/20/2019;118
5/17/2019;117
5/16/2019;117
5/15/2019;115
5/14/2019;114
5/13/2019;113
05/10/2019;113
05/09/2019;113
05/08/2019;113
05/07/2019;113
05/06/2019;112
05/03/2019;113
05/02/2019;114
4/26/2019;114
4/25/2019;114
4/24/2019;114
4/23/2019;113
4/22/2019;112
4/19/2019;110
4/18/2019;109
4/17/2019;110
4/16/2019;113
04/12/2019;113
04/11/2019;115
04/10/2019;112
04/09/2019;113
04/08/2019;116
04/05/2019;115
04/04/2019;115
04/03/2019;115
04/02/2019;116
04/01/2019;117
3/29/2019;116
3/28/2019;116
3/27/2019;114
3/26/2019;114
3/25/2019;115
3/22/2019;119
3/21/2019;117
3/20/2019;120
3/19/2019;121
3/18/2019;121
3/15/2019;119
3/14/2019;119
3/13/2019;118
03/12/2019;119
03/11/2019;118
03/08/2019;118
03/07/2019;119
03/06/2019;118
03/05/2019;117
03/04/2019;117
03/01/2019;115
2/28/2019;114
2/27/2019;117
2/26/2019;116
2/25/2019;116
2/22/2019;117
2/21/2019;118
2/20/2019;117
2/19/2019;116
2/18/2019;114
2/15/2019;112
2/14/2019;113
2/13/2019;109
02/12/2019;109
02/11/2019;104
02/01/2019;99
1/31/2019;104
1/30/2019;104
1/29/2019;104
1/28/2019;104
1/25/2019;103
1/24/2019;103
1/23/2019;103
1/22/2019;102
1/21/2019;102
1/18/2019;102
1/17/2019;102
1/16/2019;102
1/15/2019;102
1/14/2019;101
01/11/2019;101
01/10/2019;101
01/09/2019;102
01/08/2019;101
01/07/2019;101
01/04/2019;101
01/03/2019;100
01/02/2019;100
12/28/2018;95
12/27/2018;102
12/26/2018;102
12/25/2018;102
12/24/2018;102
12/21/2018;102
12/20/2018;102
12/19/2018;102
12/18/2018;102
12/17/2018;103
12/14/2018;103
12/13/2018;103
12/12/2018;102
12/11/2018;102
12/10/2018;102
12/07/2018;102
12/06/2018;102
12/05/2018;102
12/04/2018;102
12/03/2018;102
11/30/2018;102
11/29/2018;102
11/28/2018;102
11/27/2018;102
11/26/2018;101
11/23/2018;99
11/22/2018;98
11/21/2018;97
11/20/2018;97
11/19/2018;96
11/16/2018;90
11/15/2018;92
11/14/2018;95
11/13/2018;93
11/12/2018;96
11/09/2018;96
11/08/2018;96
11/07/2018;96
11/06/2018;96
11/05/2018;96
11/02/2018;96
11/01/2018;96
10/31/2018;97
10/30/2018;97
10/29/2018;97
10/26/2018;96
10/25/2018;97
10/24/2018;99
10/23/2018;99
10/22/2018;99
10/19/2018;99
10/18/2018;99
10/17/2018;99
10/16/2018;99
10/15/2018;96
10/12/2018;96
10/11/2018;93
10/10/2018;97
10/09/2018;97
10/08/2018;97
10/05/2018;99
10/04/2018;101
10/03/2018;102
10/02/2018;102
10/01/2018;99
9/28/2018;98
9/27/2018;99
9/26/2018;99
9/25/2018;100
9/24/2018;100
9/21/2018;99
9/20/2018;99
9/19/2018;99
9/18/2018;100
9/17/2018;99
9/14/2018;101
9/13/2018;100
09/12/2018;101
09/11/2018;101
09/10/2018;99
09/07/2018;97
09/06/2018;98
09/05/2018;102
09/04/2018;102
8/31/2018;103
8/30/2018;103
8/29/2018;103
8/28/2018;104
8/27/2018;104
8/24/2018;104
8/23/2018;105
8/22/2018;104
8/21/2018;103
8/20/2018;103
8/17/2018;102
8/16/2018;102
8/15/2018;102
8/14/2018;103
8/13/2018;103
08/10/2018;104
08/09/2018;104
08/08/2018;109
08/07/2018;110
08/06/2018;112
08/03/2018;112
08/02/2018;107
08/01/2018;107
7/31/2018;106
7/30/2018;106
7/27/2018;106
7/26/2018;106
7/25/2018;104
7/24/2018;105
7/23/2018;104
7/20/2018;104
7/19/2018;105
7/18/2018;105
7/17/2018;104
7/16/2018;103
7/13/2018;103
07/12/2018;103
07/11/2018;105
07/10/2018;103
07/09/2018;105
07/06/2018;106
07/05/2018;107
07/04/2018;105
07/03/2018;100
07/02/2018;107
6/29/2018;108
6/28/2018;108
6/27/2018;103
6/26/2018;102
6/25/2018;102
6/22/2018;101
6/21/2018;102
6/20/2018;103
6/19/2018;102
6/18/2018;102
6/15/2018;102
6/14/2018;104
6/13/2018;106
06/12/2018;103
06/11/2018;103
06/08/2018;103
06/07/2018;103
06/06/2018;103
06/05/2018;100
06/04/2018;99
06/01/2018;98
5/31/2018;96
5/30/2018;92
5/29/2018;91
5/28/2018;92
5/25/2018;88
5/24/2018;86
5/23/2018;85
5/22/2018;88
5/21/2018;95
5/18/2018;102
5/17/2018;102
5/16/2018;107
5/15/2018;109
5/14/2018;109
05/11/2018;102
05/10/2018;100
05/09/2018;102
05/08/2018;102
05/07/2018;103
05/04/2018;103
05/03/2018;102
05/02/2018;103
4/27/2018;104
4/26/2018;105
4/24/2018;105
4/23/2018;102
4/20/2018;102
4/19/2018;100
4/18/2018;107
4/17/2018;107
4/16/2018;106
4/13/2018;105
04/12/2018;105
04/11/2018;104
04/10/2018;108
04/09/2018;111
04/06/2018;109
04/05/2018;108
04/04/2018;105
04/03/2018;101
04/02/2018;102
3/30/2018;97
3/29/2018;95
3/28/2018;95
3/27/2018;93
3/26/2018;94
3/23/2018;90
3/22/2018;89
3/21/2018;89
3/20/2018;86
3/19/2018;86
3/16/2018;82
3/15/2018;82
3/14/2018;85
3/13/2018;85
03/12/2018;83
03/09/2018;86
03/08/2018;85
03/07/2018;81
03/06/2018;81
03/05/2018;78
03/02/2018;78
03/01/2018;78
2/28/2018;78
2/27/2018;77
2/26/2018;79
2/23/2018;76
2/22/2018;75
2/21/2018;74
2/13/2018;71
02/12/2018;69
02/09/2018;65
02/08/2018;65
02/07/2018;67
02/06/2018;67
02/05/2018;67
02/02/2018;72
02/01/2018;72
1/31/2018;71
1/30/2018;70
1/29/2018;71
1/26/2018;71
1/25/2018;70
1/22/2018;70
1/19/2018;69
1/18/2018;70
1/17/2018;69
1/16/2018;71
1/15/2018;72
01/12/2018;71
01/11/2018;67
01/10/2018;67
01/09/2018;67
01/08/2018;66
01/05/2018;66
01/04/2018;67
01/03/2018;67
01/02/2018;65
12/29/2017;64
12/28/2017;64
12/27/2017;64
12/26/2017;64
12/25/2017;64
12/22/2017;62
12/21/2017;60
12/20/2017;61
12/19/2017;61
12/18/2017;61
12/15/2017;58
12/14/2017;60
12/13/2017;60
12/12/2017;59
12/11/2017;60
12/08/2017;60
12/07/2017;60
12/06/2017;60
12/05/2017;60
12/04/2017;63
12/01/2017;62
11/30/2017;62
11/29/2017;63
11/28/2017;63
11/27/2017;63
11/24/2017;62
11/23/2017;63
11/22/2017;63
11/21/2017;64
11/20/2017;63
11/17/2017;59
11/16/2017;58
11/15/2017;57
11/14/2017;57
11/13/2017;57
11/10/2017;55
11/09/2017;57
11/08/2017;54
11/07/2017;51
11/06/2017;50
11/03/2017;50
11/02/2017;50
11/01/2017;48
10/31/2017;48
10/30/2017;48
10/27/2017;47
10/26/2017;46
10/25/2017;46
10/24/2017;46
10/23/2017;46
10/20/2017;46
10/19/2017;45
10/18/2017;45
10/17/2017;46
10/16/2017;45
10/13/2017;46
10/12/2017;45
10/11/2017;45
10/10/2017;43
10/09/2017;43
10/06/2017;43
10/05/2017;44
10/04/2017;43
10/03/2017;42
10/02/2017;42
9/29/2017;42
9/28/2017;42
9/27/2017;42
9/26/2017;41
9/25/2017;40
9/22/2017;41
9/21/2017;41
9/20/2017;40
9/19/2017;41
9/18/2017;40
9/15/2017;40
9/14/2017;41
9/13/2017;40
09/12/2017;41
09/11/2017;41
09/08/2017;42
09/07/2017;41
09/06/2017;41
09/05/2017;41
09/01/2017;41
8/31/2017;40
8/30/2017;41
8/29/2017;38
8/28/2017;38
8/25/2017;37
8/24/2017;36
8/23/2017;36
8/22/2017;35
8/21/2017;35
8/18/2017;35
8/17/2017;35
8/16/2017;35
8/15/2017;35
8/14/2017;36
08/11/2017;36
08/10/2017;36
08/09/2017;36
08/08/2017;37
08/07/2017;37
08/04/2017;37
08/03/2017;37
08/02/2017;37
08/01/2017;37
7/31/2017;37
7/28/2017;35
7/27/2017;35
7/26/2017;35
7/25/2017;35
7/24/2017;35
7/21/2017;35
7/20/2017;35
7/19/2017;35
7/18/2017;35
7/17/2017;35
7/14/2017;35
7/13/2017;35
07/12/2017;35
07/11/2017;35
07/10/2017;34
07/07/2017;35
07/06/2017;35
07/05/2017;35
07/04/2017;35
07/03/2017;35
6/30/2017;35
6/29/2017;35
6/28/2017;35
6/27/2017;35
6/26/2017;35
6/23/2017;35
6/22/2017;35
6/21/2017;35
6/20/2017;35
6/19/2017;36
6/16/2017;36
6/15/2017;35
6/14/2017;34
6/13/2017;36
06/12/2017;35
06/09/2017;34
06/08/2017;34
06/07/2017;34
06/06/2017;34
06/05/2017;34
06/02/2017;34
06/01/2017;34
5/31/2017;33
5/30/2017;33
5/29/2017;34
5/26/2017;33
5/25/2017;33
5/24/2017;33
5/23/2017;34
5/22/2017;34
5/19/2017;34
5/18/2017;34
5/17/2017;34
5/16/2017;34
5/15/2017;34
05/12/2017;33
05/11/2017;33
05/10/2017;33
05/09/2017;34
05/08/2017;33
05/05/2017;33
05/04/2017;33
05/03/2017;33
4/28/2017;34
4/27/2017;34
4/26/2017;33
4/25/2017;33
4/24/2017;33
4/21/2017;33
4/20/2017;34
4/19/2017;34
4/18/2017;34
4/17/2017;35
4/14/2017;35
4/13/2017;35
04/12/2017;35
04/11/2017;35
04/10/2017;35
04/07/2017;35
04/05/2017;34
04/04/2017;35
04/03/2017;34
3/31/2017;35
3/30/2017;35
3/29/2017;35
3/28/2017;35
3/27/2017;35
3/24/2017;35
3/23/2017;35
3/22/2017;34
3/21/2017;34
3/20/2017;36
3/17/2017;36
3/16/2017;36
3/15/2017;36
3/14/2017;36
3/13/2017;37
03/10/2017;37
03/09/2017;37
03/08/2017;37
03/07/2017;37
03/06/2017;37
03/03/2017;37
03/02/2017;36
03/01/2017;37
2/28/2017;37
2/27/2017;38
2/24/2017;37
2/23/2017;37
2/22/2017;38
2/21/2017;38
2/20/2017;37
2/17/2017;36
2/16/2017;36
2/15/2017;37
2/14/2017;35
2/13/2017;35
02/10/2017;35
02/09/2017;35
02/08/2017;35
02/07/2017;35
02/06/2017;35
02/03/2017;35
02/02/2017;35
1/25/2017;35
1/24/2017;34
1/23/2017;35
1/20/2017;35
1/19/2017;35
1/18/2017;35
1/17/2017;35
1/16/2017;35
1/13/2017;36
01/12/2017;36
01/11/2017;36
01/10/2017;35
01/09/2017;36
01/06/2017;36
01/05/2017;35
01/04/2017;35
01/03/2017;34
12/30/2016;35
12/29/2016;35
12/28/2016;34
12/27/2016;35
12/26/2016;35
12/23/2016;35
12/22/2016;35
12/21/2016;34
12/20/2016;35
12/19/2016;35
12/16/2016;35
12/15/2016;35
12/14/2016;35
12/13/2016;35
12/12/2016;35
12/09/2016;35
12/08/2016;35
12/07/2016;35
12/06/2016;34
12/05/2016;35
12/02/2016;35
12/01/2016;35
11/30/2016;35
11/29/2016;34
11/28/2016;35
11/25/2016;35
11/24/2016;35
11/23/2016;35
11/22/2016;35
11/21/2016;35
11/18/2016;35
11/17/2016;35
11/16/2016;35
11/15/2016;35
11/14/2016;35
11/11/2016;36
11/10/2016;35
11/09/2016;35
11/08/2016;35
11/07/2016;35
11/04/2016;35
11/03/2016;35
11/02/2016;35
11/01/2016;35
10/31/2016;35
10/28/2016;35
10/27/2016;35
10/26/2016;35
10/25/2016;35
10/24/2016;36
10/21/2016;36
10/20/2016;36
10/19/2016;36
10/18/2016;35
10/17/2016;36
10/14/2016;36
10/13/2016;36
10/12/2016;35
10/11/2016;35
10/10/2016;35
10/07/2016;35
10/06/2016;35
10/05/2016;36
10/04/2016;36
10/03/2016;36
9/30/2016;37
9/29/2016;37
9/28/2016;37
9/27/2016;38
9/26/2016;37
9/23/2016;37
9/22/2016;36
9/21/2016;36
9/20/2016;35
9/19/2016;35
9/16/2016;36
9/15/2016;34
9/14/2016;33
9/13/2016;33
09/12/2016;34
09/09/2016;33
09/08/2016;32
09/07/2016;32
09/06/2016;32
09/05/2016;32
09/01/2016;32
8/31/2016;32
8/30/2016;32
8/29/2016;32
8/26/2016;32
8/25/2016;33
8/24/2016;33
8/23/2016;33
8/22/2016;32
8/19/2016;32
8/18/2016;32
8/17/2016;32
8/16/2016;32
8/15/2016;33
08/12/2016;33
08/11/2016;33
08/10/2016;33
08/09/2016;31
08/08/2016;30
08/05/2016;30
08/04/2016;32
08/03/2016;33
08/02/2016;34
08/01/2016;35
7/29/2016;34
7/28/2016;35
7/27/2016;34
7/26/2016;34
7/25/2016;34
7/22/2016;34
7/21/2016;34
7/20/2016;34
7/19/2016;35
7/18/2016;36
7/15/2016;37
7/14/2016;36
7/13/2016;37
07/12/2016;35
07/11/2016;34
07/08/2016;35
07/07/2016;35
07/06/2016;34
07/05/2016;34
07/04/2016;34
07/01/2016;34
6/30/2016;33
6/29/2016;32
6/28/2016;32
6/27/2016;33
6/24/2016;32
6/23/2016;32
6/22/2016;32
6/21/2016;33
6/20/2016;33
6/17/2016;32
6/16/2016;33
6/15/2016;33
6/14/2016;33
6/13/2016;32
06/10/2016;33
06/09/2016;33
06/08/2016;33
06/07/2016;33
06/06/2016;33
06/03/2016;33
06/02/2016;33
06/01/2016;33
5/31/2016;39
5/30/2016;39
5/27/2016;38
5/26/2016;38
5/25/2016;38
5/24/2016;38
5/23/2016;38
5/20/2016;38
5/19/2016;39
5/18/2016;39
5/17/2016;40
5/16/2016;40
5/13/2016;39
05/12/2016;39
05/11/2016;39
05/10/2016;38
05/09/2016;38
05/06/2016;39
05/05/2016;38
05/04/2016;38
4/29/2016;39
4/28/2016;38
4/27/2016;39
4/26/2016;40
4/25/2016;39
4/22/2016;40
4/21/2016;38
4/20/2016;37
4/19/2016;37
4/15/2016;38
4/14/2016;39
4/13/2016;38
04/12/2016;38
04/11/2016;37
04/08/2016;35
04/07/2016;35
04/06/2016;35
04/05/2016;35
04/04/2016;35
